woche,lfd,gewicht,date,location_size,Bundesland,West/East,Gender,Age,Education,Job,Household size,NumberofPerson>14,party preference,Eligible to vote,HH Income,난민에 관한 우려,단기적 난민 수용 인식,장기적 난민 수용 인식,난민문제에 대한 정부인식
KW 03 - Januar,3348817,",364107",2016/01/13,100000 bis 500000,Bayern,West,m,72,Studium,ja,zwei,zwei,CDU/CSU,ja,keine Angabe,mache mir Sorgen,eher Nachteile,"weiß nicht, keine Angabe",kommt eher nicht voran
KW 03 - Januar,3350941,"2,049856",2016/01/13,20000 bis 50000,Nordrhein-Westfalen,West,m,23,"Volks-, Hauptschule",ja,fuenf und mehr,vier,AfD,ja,4000 bis unter 5000,mache mir Sorgen,eher Nachteile,eher Nachteile,kommt eher nicht voran
KW 03 - Januar,3352496,",510048",2016/01/13,500000 und mehr,Nordrhein-Westfalen,West,m,52,Mittlerer Bildungsabschl,ja,zwei,zwei,CDU/CSU,ja,keine Angabe,"weiß nicht, keine Angabe",oder gleichen sich Vor- und Nachteile in etwa aus?,eher Nachteile,kommt eher voran
KW 03 - Januar,3353428,"1,080324",2016/01/13,100000 bis 500000,Bayern,West,w,17,Mittlerer Bildungsabschl,nein,vier,drei, ,nein,keine Angabe,mache mir Sorgen,oder gleichen sich Vor- und Nachteile in etwa aus?,eher Nachteile,kommt eher nicht voran
KW 03 - Januar,3354412,"7,412138",2016/01/13,5000 bis 20000,Bayern,West,m,24,"Volks-, Hauptschule",ja,eine Person,eine Person,CDU/CSU,ja,2000 bis unter 2500,mache mir Sorgen,eher Nachteile,eher Nachteile,kommt eher nicht voran
KW 03 - Januar,3354806,"1,609672",2016/01/13,500000 und mehr,Hessen,West,m,16,Schüler,nein,drei,zwei, ,nein,500 bis unter 1000,mache mir Sorgen,eher Nachteile,oder gleichen sich Vor- und Nachteile in etwa aus?,kommt eher voran
KW 03 - Januar,3354882,",456532",2016/01/13,500000 und mehr,Berlin,West,m,32,Studium,ja,eine Person,eine Person,CDU/CSU,ja,2500 bis unter 3000,mache mir keine Sorgen,oder gleichen sich Vor- und Nachteile in etwa aus?,oder gleichen sich Vor- und Nachteile in etwa aus?,kommt eher voran
KW 03 - Januar,3356344,",416137",2016/01/13,100000 bis 500000,Baden-Württemberg,West,m,55,Studium,ja,eine Person,eine Person,AfD,ja,2000 bis unter 2500,mache mir Sorgen,eher Nachteile,eher Nachteile,kommt eher nicht voran
KW 03 - Januar,3356613,",275667",2016/01/13,100000 bis 500000,Thüringen,Ost,m,40,Studium,ja,vier,zwei,"weiß nicht, keine Angabe",ja,5000 Euro und mehr,mache mir Sorgen,eher Nachteile,eher Nachteile,kommt eher nicht voran
KW 03 - Januar,3356640,"2,234278",2016/01/13,500000 und mehr,Sachsen,Ost,m,30,Studium,ja,eine Person,eine Person,CDU/CSU,ja,5000 Euro und mehr,mache mir Sorgen,eher Nachteile,eher Nachteile,kommt eher voran
KW 03 - Januar,3356814,",429107",2016/01/13,20000 bis 50000,Sachsen,Ost,m,41,Mittlerer Bildungsabschl,ja,eine Person,eine Person,AfD,ja,500 bis unter 1000,mache mir Sorgen,eher Nachteile,eher Nachteile,kommt eher nicht voran
KW 03 - Januar,3358177,"1,995854",2016/01/13,5000 bis 20000,Brandenburg,Ost,w,14,Schüler,nein,zwei,zwei, , ,keine Angabe,mache mir keine Sorgen,eher Nachteile,eher Nachteile,kommt eher voran
KW 03 - Januar,3358443,"1,9985",2016/01/13,500000 und mehr,Brandenburg,Ost,m,60,Mittlerer Bildungsabschl,nein,zwei,zwei,sonstige,ja,2000 bis unter 2500,mache mir Sorgen,eher Nachteile,eher Nachteile,kommt eher nicht voran
KW 03 - Januar,3358869,",322057",2016/01/13,2000 bis 5000,Sachsen,Ost,w,65,Studium,nein,zwei,zwei,"weiß nicht, keine Angabe",ja,1000 bis unter 1500,mache mir Sorgen,eher Nachteile,oder gleichen sich Vor- und Nachteile in etwa aus?,kommt eher voran
KW 03 - Januar,3359185,",626756",2016/01/13,50000 bis 100000,Nordrhein-Westfalen,West,w,29,Abitur,ja,eine Person,eine Person,"weiß nicht, keine Angabe",ja,keine Angabe,mache mir keine Sorgen,oder gleichen sich Vor- und Nachteile in etwa aus?,"eher Vorteile,",kommt eher nicht voran
KW 03 - Januar,3360335,",572973",2016/01/13,100000 bis 500000,Nordrhein-Westfalen,West,m,48,Studium,ja,drei,zwei,SPD,ja,5000 Euro und mehr,mache mir keine Sorgen,eher Nachteile,"eher Vorteile,",kommt eher nicht voran
KW 03 - Januar,3363354,",924377",2016/01/13,500000 und mehr,Bayern,West,m,58,Mittlerer Bildungsabschl,ja,zwei,zwei, ,nein,keine Angabe,mache mir Sorgen,eher Nachteile,eher Nachteile,"weiß nicht, keine Angabe"
KW 03 - Januar,3363424,"1,482292",2016/01/13,20000 bis 50000,Bayern,West,w,55,"Volks-, Hauptschule",ja,fuenf und mehr,fuenf und mehr,SPD,ja,2000 bis unter 2500,mache mir Sorgen,eher Nachteile,eher Nachteile,kommt eher nicht voran
KW 03 - Januar,3363802,",121085",2016/01/13,500000 und mehr,Berlin,Ost,w,78,Studium,nein,fuenf und mehr,eine Person,CDU/CSU,ja,keine Angabe,mache mir Sorgen,eher Nachteile,eher Nachteile,kommt eher nicht voran
KW 03 - Januar,3363963,"1,989255",2016/01/13,5000 bis 20000,Schleswig-Holstein,West,m,33,Studium,ja,vier,zwei, ,nein,4000 bis unter 5000,mache mir keine Sorgen,eher Nachteile,"eher Vorteile,",kommt eher nicht voran
KW 03 - Januar,3365180,",293819",2016/01/13,100000 bis 500000,Mecklenburg-Vorpommern,Ost,m,66,Studium,nein,zwei,zwei,würde nicht wählen,ja,3000 bis unter 3500,mache mir Sorgen,eher Nachteile,oder gleichen sich Vor- und Nachteile in etwa aus?,"weiß nicht, keine Angabe"
KW 03 - Januar,3366585,",555874",2016/01/13,100000 bis 500000,Niedersachsen,West,w,62,Mittlerer Bildungsabschl,ja,zwei,zwei,"weiß nicht, keine Angabe",ja,2000 bis unter 2500,mache mir Sorgen,oder gleichen sich Vor- und Nachteile in etwa aus?,oder gleichen sich Vor- und Nachteile in etwa aus?,kommt eher nicht voran
KW 03 - Januar,3366824,"1,911763",2016/01/13,100000 bis 500000,Nordrhein-Westfalen,West,m,26,"Volks-, Hauptschule",ja,eine Person,eine Person,"weiß nicht, keine Angabe",ja,1000 bis unter 1500,mache mir Sorgen,eher Nachteile,eher Nachteile,kommt eher nicht voran
KW 03 - Januar,3367289,",767744",2016/01/13,100000 bis 500000,Sachsen,Ost,w,32,Abitur,nein,fuenf und mehr,zwei,"weiß nicht, keine Angabe",ja,2000 bis unter 2500,mache mir Sorgen,eher Nachteile,"weiß nicht, keine Angabe",kommt eher nicht voran
KW 03 - Januar,3368033,",417154",2016/01/13,500000 und mehr,Berlin,Ost,m,28,Studium,nein,vier,vier,Die Linke,ja,3000 bis unter 3500,mache mir keine Sorgen,eher Nachteile,"eher Vorteile,",kommt eher voran
KW 03 - Januar,3368545,",534246",2016/01/13,100000 bis 500000,Thüringen,Ost,m,68,Mittlerer Bildungsabschl,nein,zwei,zwei,"weiß nicht, keine Angabe",ja,1500 bis unter 2000,mache mir keine Sorgen,oder gleichen sich Vor- und Nachteile in etwa aus?,"eher Vorteile,",kommt eher nicht voran
KW 03 - Januar,3368921,"1,064127",2016/01/13,50000 bis 100000,Sachsen-Anhalt,Ost,m,55,Mittlerer Bildungsabschl,ja,drei,drei,sonstige,ja,1500 bis unter 2000,mache mir keine Sorgen,eher Nachteile,oder gleichen sich Vor- und Nachteile in etwa aus?,kommt eher voran
KW 03 - Januar,3370307,",746086",2016/01/13,100000 bis 500000,Nordrhein-Westfalen,West,w,41,Mittlerer Bildungsabschl,ja,drei,zwei, ,nein,keine Angabe,mache mir Sorgen,oder gleichen sich Vor- und Nachteile in etwa aus?,oder gleichen sich Vor- und Nachteile in etwa aus?,kommt eher nicht voran
KW 03 - Januar,3371342,",969967",2016/01/13,5000 bis 20000,Thüringen,Ost,w,57,Studium,ja,zwei,zwei,"weiß nicht, keine Angabe",ja,keine Angabe,mache mir Sorgen,eher Nachteile,"weiß nicht, keine Angabe",kommt eher nicht voran
KW 03 - Januar,3371414,"1,00086",2016/01/13,5000 bis 20000,Nordrhein-Westfalen,West,m,23,Mittlerer Bildungsabschl,nein,drei,drei,"weiß nicht, keine Angabe",ja,keine Angabe,"weiß nicht, keine Angabe","weiß nicht, keine Angabe","weiß nicht, keine Angabe",kommt eher nicht voran
KW 03 - Januar,3373214,",812873",2016/01/13,100000 bis 500000,Bayern,West,w,18,Mittlerer Bildungsabschl,nein,drei,zwei,"weiß nicht, keine Angabe",ja,3500 bis unter 4000,mache mir Sorgen,eher Nachteile,eher Nachteile,kommt eher nicht voran
KW 03 - Januar,3373353,",968518",2016/01/13,500000 und mehr,Berlin,West,m,38,Abitur,ja,zwei,zwei, ,nein,5000 Euro und mehr,mache mir keine Sorgen,eher Nachteile,eher Nachteile,kommt eher nicht voran
KW 03 - Januar,3375457,",131432",2016/01/13,500000 und mehr,Rheinland-Pfalz,West,m,62,Studium,ja,eine Person,eine Person,SPD,ja,2500 bis unter 3000,mache mir Sorgen,eher Nachteile,eher Nachteile,kommt eher nicht voran
KW 03 - Januar,3375724,"3,187595",2016/01/13,500000 und mehr,Nordrhein-Westfalen,West,m,27,"Volks-, Hauptschule",nein,vier,vier,SPD,ja,2000 bis unter 2500,mache mir keine Sorgen,oder gleichen sich Vor- und Nachteile in etwa aus?,"eher Vorteile,",kommt eher voran
KW 03 - Januar,3378154,",168993",2016/01/13,500000 und mehr,Berlin,Ost,w,82,Abitur,nein,eine Person,eine Person, ,nein,unter 500 Euro,mache mir keine Sorgen,eher Nachteile,oder gleichen sich Vor- und Nachteile in etwa aus?,kommt eher voran
KW 03 - Januar,3378947,"1,566216",2016/01/13,500000 und mehr,Niedersachsen,West,m,63,"Volks-, Hauptschule",nein,eine Person,eine Person,"weiß nicht, keine Angabe",ja,1000 bis unter 1500,mache mir Sorgen,oder gleichen sich Vor- und Nachteile in etwa aus?,oder gleichen sich Vor- und Nachteile in etwa aus?,kommt eher nicht voran
KW 03 - Januar,3379857,",334049",2016/01/13,100000 bis 500000,Sachsen-Anhalt,Ost,m,54,Mittlerer Bildungsabschl,ja,zwei,eine Person,CDU/CSU,ja,2000 bis unter 2500,mache mir Sorgen,oder gleichen sich Vor- und Nachteile in etwa aus?,eher Nachteile,kommt eher voran
KW 03 - Januar,3380090,"2,429833",2016/01/13,100000 bis 500000,Nordrhein-Westfalen,West,m,58,"Volks-, Hauptschule",ja,drei,zwei,CDU/CSU,ja,keine Angabe,mache mir keine Sorgen,"eher Vorteile,",oder gleichen sich Vor- und Nachteile in etwa aus?,kommt eher nicht voran
KW 03 - Januar,3382243,"7,489951",2016/01/13,100000 bis 500000,Hessen,West,w,46,"Volks-, Hauptschule",ja,eine Person,eine Person,"weiß nicht, keine Angabe",ja,1500 bis unter 2000,mache mir Sorgen,eher Nachteile,oder gleichen sich Vor- und Nachteile in etwa aus?,kommt eher nicht voran
KW 03 - Januar,3383283,",609281",2016/01/13,500000 und mehr,Schleswig-Holstein,West,m,44,Studium,ja,drei,drei,SPD,ja,3000 bis unter 3500,mache mir keine Sorgen,eher Nachteile,"eher Vorteile,",kommt eher nicht voran
KW 03 - Januar,3384359,"1,705127",2016/01/13,100000 bis 500000,Baden-Württemberg,West,m,25,Abitur,nein,zwei,zwei,"weiß nicht, keine Angabe",ja,2000 bis unter 2500,mache mir keine Sorgen,eher Nachteile,"eher Vorteile,",kommt eher nicht voran
KW 03 - Januar,3385493,",596049",2016/01/13,500000 und mehr,Nordrhein-Westfalen,West,w,61,Abitur,ja,vier,vier,"weiß nicht, keine Angabe",ja,3000 bis unter 3500,mache mir Sorgen,oder gleichen sich Vor- und Nachteile in etwa aus?,"eher Vorteile,",kommt eher nicht voran
KW 03 - Januar,3386315,",322163",2016/01/13,500000 und mehr,Nordrhein-Westfalen,West,w,47,Studium,ja,vier,zwei,CDU/CSU,ja,5000 Euro und mehr,mache mir Sorgen,"weiß nicht, keine Angabe","weiß nicht, keine Angabe",kommt eher voran
KW 03 - Januar,3388199,",245686",2016/01/13,100000 bis 500000,Hessen,West,m,45,Studium,ja,drei,zwei,würde nicht wählen,ja,5000 Euro und mehr,mache mir Sorgen,eher Nachteile,eher Nachteile,kommt eher nicht voran
KW 03 - Januar,3388433,"5,527412",2016/01/13,100000 bis 500000,Niedersachsen,West,m,49,"Volks-, Hauptschule",ja,drei,drei,"weiß nicht, keine Angabe",ja,2500 bis unter 3000,mache mir keine Sorgen,"weiß nicht, keine Angabe","eher Vorteile,",kommt eher voran
KW 03 - Januar,3388609,"1,215258",2016/01/13,100000 bis 500000,Bayern,West,w,26,Mittlerer Bildungsabschl,ja,fuenf und mehr,fuenf und mehr,CDU/CSU,ja,3500 bis unter 4000,mache mir Sorgen,eher Nachteile,oder gleichen sich Vor- und Nachteile in etwa aus?,kommt eher nicht voran
KW 03 - Januar,3389486,",480004",2016/01/13,bis 2000,Bayern,West,m,27,Abitur,ja,zwei,zwei,"Bündnis `90, Die Grünen",ja,3500 bis unter 4000,mache mir keine Sorgen,oder gleichen sich Vor- und Nachteile in etwa aus?,"eher Vorteile,",kommt eher nicht voran
KW 03 - Januar,3390046,"3,98394",2016/01/13,50000 bis 100000,Hessen,West,m,22,Mittlerer Bildungsabschl,ja,drei,drei,"weiß nicht, keine Angabe",ja,keine Angabe,mache mir Sorgen,eher Nachteile,"weiß nicht, keine Angabe",kommt eher nicht voran
KW 03 - Januar,3390785,"1,234282",2016/01/13,5000 bis 20000,Baden-Württemberg,West,w,37,Abitur,ja,fuenf und mehr,zwei,"Bündnis `90, Die Grünen",ja,2000 bis unter 2500,mache mir keine Sorgen,"weiß nicht, keine Angabe","eher Vorteile,",kommt eher voran
KW 03 - Januar,3391419,",216544",2016/01/13,100000 bis 500000,Niedersachsen,West,m,58,Studium,ja,vier,vier,"weiß nicht, keine Angabe",ja,5000 Euro und mehr,mache mir Sorgen,eher Nachteile,"weiß nicht, keine Angabe",kommt eher nicht voran
KW 03 - Januar,3392007,",579454",2016/01/13,2000 bis 5000,Niedersachsen,West,w,34,Abitur,ja,eine Person,eine Person,SPD,ja,1000 bis unter 1500,mache mir keine Sorgen,eher Nachteile,oder gleichen sich Vor- und Nachteile in etwa aus?,kommt eher voran
KW 03 - Januar,3392012,",296157",2016/01/13,50000 bis 100000,Nordrhein-Westfalen,West,m,56,Studium,ja,fuenf und mehr,fuenf und mehr,FDP,ja,5000 Euro und mehr,mache mir keine Sorgen,eher Nachteile,"eher Vorteile,",kommt eher nicht voran
KW 03 - Januar,3392073,",890798",2016/01/13,20000 bis 50000,Hessen,West,m,37,Studium,ja,drei,zwei,"weiß nicht, keine Angabe",ja,5000 Euro und mehr,mache mir Sorgen,"weiß nicht, keine Angabe",eher Nachteile,kommt eher nicht voran
KW 03 - Januar,3392949,"2,659797",2016/01/13,500000 und mehr,Berlin,West,m,21,"Volks-, Hauptschule",nein,drei,drei,"Bündnis `90, Die Grünen",ja,unter 500 Euro,mache mir keine Sorgen,eher Nachteile,"eher Vorteile,",kommt eher nicht voran
KW 03 - Januar,3393065,",458245",2016/01/13,20000 bis 50000,Nordrhein-Westfalen,West,m,71,Mittlerer Bildungsabschl,nein,zwei,zwei,CDU/CSU,ja,3000 bis unter 3500,mache mir Sorgen,eher Nachteile,eher Nachteile,kommt eher nicht voran
KW 03 - Januar,3394292,"3,326808",2016/01/13,500000 und mehr,Bayern,West,m,25,Abitur,nein,eine Person,eine Person,SPD,ja,500 bis unter 1000,mache mir keine Sorgen,oder gleichen sich Vor- und Nachteile in etwa aus?,"eher Vorteile,",kommt eher nicht voran
KW 03 - Januar,3396002,"1,149198",2016/01/13,100000 bis 500000,Nordrhein-Westfalen,West,w,25,Abitur,ja,vier,vier,CDU/CSU,ja,keine Angabe,"weiß nicht, keine Angabe",eher Nachteile,oder gleichen sich Vor- und Nachteile in etwa aus?,kommt eher nicht voran
KW 03 - Januar,3397002,",131954",2016/01/13,500000 und mehr,Hessen,West,m,64,Abitur,ja,eine Person,eine Person,"weiß nicht, keine Angabe",ja,2000 bis unter 2500,"weiß nicht, keine Angabe",eher Nachteile,"eher Vorteile,",kommt eher nicht voran
KW 03 - Januar,3398112,"4,383318",2016/01/13,50000 bis 100000,Baden-Württemberg,West,m,26,"Volks-, Hauptschule",ja,eine Person,eine Person,"weiß nicht, keine Angabe",ja,2000 bis unter 2500,mache mir Sorgen,eher Nachteile,eher Nachteile,kommt eher nicht voran
KW 03 - Januar,3398906,",521801",2016/01/13,20000 bis 50000,Hessen,West,m,22,Studium,ja,vier,vier,CDU/CSU,ja,3500 bis unter 4000,mache mir keine Sorgen,oder gleichen sich Vor- und Nachteile in etwa aus?,"eher Vorteile,",kommt eher voran
KW 03 - Januar,3399389,"2,04265",2016/01/13,100000 bis 500000,Nordrhein-Westfalen,West,m,16,"Volks-, Hauptschule",nein,fuenf und mehr,fuenf und mehr, ,nein,4000 bis unter 5000,mache mir Sorgen,eher Nachteile,oder gleichen sich Vor- und Nachteile in etwa aus?,kommt eher nicht voran
KW 03 - Januar,3400206,"2,688998",2016/01/13,20000 bis 50000,Sachsen,Ost,w,60,Mittlerer Bildungsabschl,ja,zwei,zwei,CDU/CSU,ja,1500 bis unter 2000,mache mir Sorgen,oder gleichen sich Vor- und Nachteile in etwa aus?,oder gleichen sich Vor- und Nachteile in etwa aus?,kommt eher nicht voran
KW 03 - Januar,3401397,",258367",2016/01/13,bis 2000,Rheinland-Pfalz,West,w,47,Studium,ja,fuenf und mehr,eine Person,"weiß nicht, keine Angabe",ja,keine Angabe,mache mir Sorgen,eher Nachteile,eher Nachteile,kommt eher voran
KW 03 - Januar,3401769,",413654",2016/01/13,500000 und mehr,Sachsen,Ost,m,30,Studium,ja,drei,zwei,"weiß nicht, keine Angabe",ja,3500 bis unter 4000,mache mir keine Sorgen,oder gleichen sich Vor- und Nachteile in etwa aus?,"eher Vorteile,",kommt eher voran
KW 03 - Januar,3402887,"1,13619",2016/01/13,2000 bis 5000,Thüringen,Ost,m,55,"Volks-, Hauptschule",ja,zwei,zwei,SPD,ja,2500 bis unter 3000,mache mir keine Sorgen,eher Nachteile,oder gleichen sich Vor- und Nachteile in etwa aus?,kommt eher voran
KW 03 - Januar,3403303,"3,559347",2016/01/13,500000 und mehr,Sachsen,Ost,m,37,Mittlerer Bildungsabschl,ja,drei,zwei,würde nicht wählen,ja,1000 bis unter 1500,mache mir Sorgen,eher Nachteile,eher Nachteile,kommt eher nicht voran
KW 03 - Januar,3403395,"1,726889",2016/01/13,100000 bis 500000,Saarland,West,w,31,Studium,ja,drei,zwei,"weiß nicht, keine Angabe",ja,2500 bis unter 3000,mache mir Sorgen,eher Nachteile,"weiß nicht, keine Angabe",kommt eher nicht voran
KW 03 - Januar,3404938,",391979",2016/01/13,500000 und mehr,Hamburg,West,m,40,Studium,ja,eine Person,eine Person,SPD,ja,2000 bis unter 2500,mache mir keine Sorgen,oder gleichen sich Vor- und Nachteile in etwa aus?,oder gleichen sich Vor- und Nachteile in etwa aus?,kommt eher voran
KW 03 - Januar,3411298,"2,250271",2016/01/13,500000 und mehr,Niedersachsen,West,w,18,Mittlerer Bildungsabschl,nein,drei,drei,CDU/CSU,ja,keine Angabe,mache mir keine Sorgen,"eher Vorteile,",oder gleichen sich Vor- und Nachteile in etwa aus?,kommt eher nicht voran
KW 03 - Januar,3411876,"1,872967",2016/01/13,500000 und mehr,Berlin,West,m,29,Abitur,nein,zwei,zwei,"Bündnis `90, Die Grünen",ja,1500 bis unter 2000,mache mir keine Sorgen,eher Nachteile,"eher Vorteile,",kommt eher nicht voran
KW 03 - Januar,3413013,"2,362798",2016/01/13,bis 2000,Schleswig-Holstein,West,m,36,Abitur,ja,drei,zwei,"weiß nicht, keine Angabe",ja,4000 bis unter 5000,mache mir Sorgen,eher Nachteile,eher Nachteile,kommt eher nicht voran
KW 03 - Januar,3417598,",740635",2016/01/13,100000 bis 500000,Hessen,West,w,29,Studium,ja,eine Person,eine Person,"weiß nicht, keine Angabe",ja,2500 bis unter 3000,mache mir keine Sorgen,eher Nachteile,oder gleichen sich Vor- und Nachteile in etwa aus?,kommt eher voran
KW 03 - Januar,3417694,",300643",2016/01/13,500000 und mehr,Bayern,West,w,69,Studium,nein,eine Person,eine Person,CDU/CSU,ja,keine Angabe,mache mir Sorgen,"weiß nicht, keine Angabe","eher Vorteile,",kommt eher nicht voran
KW 03 - Januar,3418105,"1,164013",2016/01/13,100000 bis 500000,Nordrhein-Westfalen,West,w,28,Abitur,nein,drei,drei, ,keine Angabe,500 bis unter 1000,mache mir keine Sorgen,eher Nachteile,eher Nachteile,kommt eher nicht voran
KW 03 - Januar,3418359,",420412",2016/01/13,100000 bis 500000,Bayern,West,w,53,Abitur,nein,zwei,zwei,CDU/CSU,ja,3000 bis unter 3500,mache mir keine Sorgen,oder gleichen sich Vor- und Nachteile in etwa aus?,eher Nachteile,kommt eher nicht voran
KW 03 - Januar,3420270,"2,373538",2016/01/13,100000 bis 500000,Schleswig-Holstein,West,w,26,Mittlerer Bildungsabschl,ja,eine Person,eine Person,"weiß nicht, keine Angabe",ja,1000 bis unter 1500,mache mir Sorgen,oder gleichen sich Vor- und Nachteile in etwa aus?,eher Nachteile,kommt eher nicht voran
KW 03 - Januar,3421025,"1,231592",2016/01/13,500000 und mehr,Hamburg,West,m,56,"Volks-, Hauptschule",ja,eine Person,eine Person,würde nicht wählen,ja,500 bis unter 1000,mache mir keine Sorgen,"eher Vorteile,","eher Vorteile,",kommt eher nicht voran
KW 03 - Januar,3422190,",07625",2016/01/13,500000 und mehr,Berlin,West,m,73,Studium,nein,vier,vier,SPD,ja,5000 Euro und mehr,mache mir keine Sorgen,oder gleichen sich Vor- und Nachteile in etwa aus?,"eher Vorteile,",kommt eher voran
