cafe_title,cafe_content,cafe_replies,date
위염약 현지에서 어떤거 사야할까요,"안녕하세요
현재 아르헨티나 여행중인데
볼리비아에서부터 위가 아프더니 속이 미슥거리고 소화가 안되는 느낌이들고 2-3일 지나니까 더아파지고 기운도없어졌어요

아르헨티나 약국가서 그냥 아무 위염약 먹으면될까요?

","['아프면 병원을 가시는게...', '이게 위염있을 때 먹는 약이라고 누가 알려줬는데... 제가 먹어본 적은 없네요. ^^;;;;\n\n근데... 저도 병원 추천드려봅니다.\n밖에 나와서 아프면... 더 힘들잖아요.', '따뜻한 답변감사합니다! 약효가있네요! 먹고 하루만에 괜찮아졌어요']",
현지 약은 잘듣나요?,"이 게시판에서 광고나 홍보 목적의 게시글을 올리는 것은 규정위반입니다.
만약 위반시에는 경고없이 운영진에서 게시글 바로 삭제할 수도 있으니
회사이름, 상품명, 연락처 등이 들어가지 않도록 유의해주시기 바랍니다.
감사합니다~



궁금하게 있는데요.. 현지에서 파는 약이랑 한국에서 파는 약이 차이점이 있을까요..?
약들도 바리바리 싸들고 가야하는건 아닌지 궁금해서 질문드립니다!

미리 감사합니다","['여기약 좋아요...', '그렇군요.. 감사합니다!', '불안하심 약은 조금씩 가져오세요. 근데 글로벌 제약회사 제품은 전세계 대부분 약 이름 똑같거나 비슷한 걸로 팔고있고, 모르긴 몰라도 또옥같은 화학식, 똑같은 화학 약품명의 재료 쓸거예요 약만들때 말레이시아라고 특별히 다른 연금술 같은 걸 창조하는 건 아닐테니깐요', '그렇군요 감사합니다~~', '한국 약들 보다는 병원가서 처방받아온 현지약이 더 잘 듣는것 같아요~~ 비상용으로 조금만 가지고 오셔요', '정보 감사해요!', '현지약 너무잘들어요 ^^ 메디폼.비염약.마데카솔 이런건 한국에서 가져가고 나머지는 현지병원가서 처방받아 먹였어요.', '꿀팁이네요 넘 감사해요~~']",
좋은하루입니다♥️ 비상약? 현지약? 고민되네요🥹,"이제 비상약 준비를 해야 할 차례네요!
D-8이라
매일 매일 여행 전 필요물품 알아보고
가서 구매할것 구분해서
쿠팡과 면세점을 총동원하여 주문하고있어용🫣♥️
근데 비상약준비에서 탁! 막혔숩니다
ㅋㅋㅋ 어른두명에 아이가 5/7세 인데
현지도 약국이 잘되있는거같더라구요
필수쇼핑약 구매하러 갈겸 어차피 약국에 가야하는데
현지가서 모자르는 비상약을 구매하는건
좀 위험부담이있을까요?!

국내에서 사가려고하는건 현재까지는

유아멀미약(소보민) /유아진통해열제2가지 (덱시부,아세트) /
성인약 (타이레놀,애드빌)/아이들 백초시럽/감기약 종류별 / 바르는모기약/ 물놀이 후 충혈됐을때 사용할 안약
밴드/연고류 상처치료제(에스로반이나 마데카솔) /체온계/듀오덤/ 약 공병


인데 감기약 증상종류별로 목 코 기침 몸살 다 챙겨야할까요?!🤣🤣🤣;; 너무많아지는거같아서요 ㅋㅋㅋㅋ
어른 소화약은 현지에서 팔더라구요 그래서 패스했답니다ㅜ
이외에 추가하면 좋을것들 추천해주시면 감사합니다♥️
","['기침 콧물약이랑 알러지약 지사제는 아이 먹던걸로 꼭 챙겨가시는거 추천합니다', '넵 아이 먹던걸로 꼬옥챙겨다녀올게요🤎🤎', '저는 현지서 사서쓰자는 마음에 해열제두종류,항생제,메디폼 정도만 챙겼어요^^\n저희애들은만 8세11세라서 큰편이라서 괜찮았던거라\n아이들 어리시니많이챙겨가세용ㅎ', '아이들이조금크고편하게가든해야겎어요😩 어리니까 다 바리바리가져가는걸로😌♥️♥️ 감사합니다!', '와~~좋으시겠어요^^거기도 약국도 좋고 일본약도 팔고 하긴하지만,, 제생각엔 애들약은 챙겨가시는게 좋지않을까 하네요. 약국은 늦게까지 운영도 하고 걱정은 안하셔도 되요ㅎ', '그러니까요 애들약은 미리대비해야겠어요 생각이좀오락가락했나봐요 ㅎㅎ 사러가려면 갑자기 정신없을텐데말입죠😂', '대부분 약을 현지에서 구할수있지만 급하게 사용해야 할 약들은 미리 가지고 가시는게 도움되실겁니다.', '넵 ㅜㅜ 급하게사러가려면 정신없을거같아 미리사기로했어요😆♥️', '지사제..안 먹여봤는데..고민되네요ㅠ', 'ㅜㅜ 지사제 .. 진짜 심할때는 안먹이고는 못버티더라구요 ㅠㅠ 변기를 끌어안고 있었다눙... 그럴일이생길까요 싶지만 우선 백초시럽으로대체해보까해요ㅜ', '약들 현지서도 살수 있긴하나 ...\n이게.잘 들지 모를수 있고, 막 아플때 사러나갈수 있을지 , 바로 약 구매 할수 있을지도 모르고 하니 .. 잘 쓰시는 약은 미리 준비 하시는게 좋을것 같아요 .\n알러지약도 챙기시면 좋고\n가시면 썬번대비용 비파인 구입하시면 좋으실듯요 .', '알러지약 추가해야겠어요!\n아이들 관련된약은 다 한국에서사고요! 말씀주신대로 언제아플지모르니까 대비를해야겠어요🥰', '아....참 비상약도 좀 챙겨야겠네요.....정보 감사합니다 ^^', '꼭 챙겨가야겠습니다 비상약🥹', '약준비는 한국에서 준비하는게 좋을것같네요.\n그럴일이 없겠지만 만약 그야말로 비상으로 구해야할일이 생기면 그거하나 급하게 사러 약국 찾아가야하잖아요.', '그러게요 갑자기 사러가려면 정신도없고 힘들거같아서 추가해서 미리쫙살려구요^^ 너무감사드립니다', '먹는약은 미리 준비하고요\n알로에젤이랑 비아핀은 전 동남아갈땐 챙겨가는데\n베트남은 비아핀이 저렴하니 가서 바로 하나 사시면 좋을것 같아요\n그리고 오기전에 약쇼핑하시면 되지 않을까요?', '오기전에 약쇼핑할거쫙적어놔야겠어요 🫢♥️']",
"말머리
[QA]
일본약 현지에서 사는거랑 직구랑 많이 차이날까요?","일본갈 날이 많이 남다보니 현지 가기전에 좀 필요한 약들이 있어서
직구를 알아보는데 현지랑 가격이 크게 차이나는지 일일이 알아보기가 힘드네요.
가서사면 올때 부피랑 무게도 많이 차지하고요.
큐텐같은데서 여러가지 사는 경우 대략적으로 크게 차이안난다면 미리 좀 직구할려고 고민중입니다.
직구로 사도 의약품은 구매제한이 있겠지요?","['일단 직구의 단점은 배송비와 통관입니다.\n배송비를 생각하고 단가를 비교하면 압도적으로 가서 사시는게 싸요.\n직구 의약품 구매제한은 6개까지만 구매가 가능합니다.\n용량은 무관하고 갯수가 6개예요.\n캬베진 300정을 큐텐직구와 야후재팬에서 가격을 비교했는데요.\n거의 비슷한 가격이었습니다.\n일반 드럭스토어의 가격은 매장마다 다른데, 야후로 비교해보니 몇백원 차이나는 수준이었습니다.', '그럼 6개 이상 사려면 어떻게해야하나요? 통관 진행되고 다시 사야하나요?\n직구해본지 오래되서 가물가물하네요.', '브랜든히트네 두번에 나눠서 구매하셔야해요ㅠㅠ', '김강냉감사합니다. 일단 직구로 나눠서 구매해야겠네요.', '큐텐으로 구매시에 비교해보면 택배비 포함해도 현지가격과 비슷한 것 같아요.', '가서는 너무 많을거 같아 큐텐에서 사야겠습니다.\n광군절특가에 공구까지 해서 싸네요.']",
"말머리
[의료]
현지에서 말라리아약 구매 가능한가요?","말라논, 독시사이클린...
이런약 현지에서처방, 구매 쉬운지요?

말라리아 약인데...보건소에서 이야기해주시네요.","['독시사이클린 흔한 항생제라 로컬약국서 흔히 구입할수 있습니다', '감사합니다. 일단 소량 처방받아서 들어간답니다.']",
월경편두통약 현지서 구할 수 있는거 있을까요ㅠ,"한동안 편두통 없어서,, 괜찮졌나싶어서 약 안받아왔는데 ㅠ
또 아프네요..
아프기.시작하면 며칠은 진짜 머리에 구멍이 뚫리면 시원하고 안아프겠단 생각이.들 정도로 아프고 고통스러운데.. 아 죽을거같네요ㅠ
일반 소염진통제 잘 안받이서 신경외과에서 처방받은 약인데 ㅠㅠ
으 가져올걸 ㅠㅠ
혹시 현지서 대체해서 먹을만한 약이나 아시는거 있으신분... ㅠㅠㅠㅠ


","['저도 생리전 증후군하고 평상시에도 두통이 많인 편이라 에드빌 사먹고 있긴해요 ㅠ 약국에서 편두통 얘기하면 주지 않을까요?', '타이레놀만 챙겨왔는데 ㅠ 약국 함 가봐야겠어요 😭😭', '크림모카네네 ㅠ 저도 그 두통 어떤건지 알아서 그나마 한국에서도 에드빌이 괜찮아서 여기서도 먹고 있는데 잘 듣긴해요 ㅠ']",
"말머리
[Q일반]
약 가격이....","이 약 현지 가격이 얼마정도인지 아시는 회원님 계실까요?
궁금합니다..
","['라쿠텐에 있는데 비싸네요.\nhttps://item.rakuten.co.jp/pigg/fulleos-300/', '앗 감사합니다\n한국에서 직구하는게 더 저렴한데요!\n1월에 오사카 가서 직접 발품 팔아봐야겠네요~^^']",
고산병약 현지구입,"며칠 후면 카라콜에서 아라콜 패스 가는데
고산병약을 현지에서 구입하려는데 가능한
지 모르겠네요.

국내에서는 전문의약품이라 처방 받아서 사
야하는데 약국마다 있는 것도 아니라네요.

고산병약을 비쉬켓이나 카라콜 등 현지에서
구입할 수 있는지 궁금합니다.
아시는 분 댓글 부탁드립니다.

그리고
송쿨호수 6/23 1박 가실 분 있으시면
댓글 주세요. 택시 쉐어 하려고 합니다.
현재 2명입니다.
",['서울에서 처방받아 구입하고 잘 다녀옴.'],
"말머리
[Q]
빈대약 현지서 파나요?","현지서 퇴치제나 버물리같은거 파나요?
모기도 자주물리는 아인데 뉴스보니 한국의 빈대도 늘어서
해외도 걱정이네요

준비해가면 어떤 아이템 준비하는게 좋을까요?
진드기퇴치제도 필요한가요?
전 내부숙소이용후 일주일정도 호텔이용할계획이라
호텔이용시 쓸까해서오.
📢 말머리 Q 설정! 위 게시판 안내 필독
📢 글 제목은 단어가 아닌 문장형으로 샹글 (X) 세부샹그릴라 (O)






☞ 답변주신 회원님에게는 감사의 대댓글을! (질문글 삭제시 활정), 댓글 답변은 따뜻하게 해주세요 (상처금지)
📢 말머리 Q 설정! 위 게시판 안내 필독
📢 글 제목은 단어가 아닌 문장형으로 샹글 (X) 세부샹그릴라 (O)






☞ 답변주신 회원님에게는 감사의 대댓글을! (질문글 삭제시 활정), 댓글 답변은 따뜻하게 해주세요 (상처금지)","['저는 혹시몰라 오늘 비오킬사왔어요 ..😂\n저는 다음주 갑니다😁', '진드기시트지있어서 그거사와서 침대시트밑에 붙여서 지냈어요. 모기기피제, 그리고팔찌계속 새것으로교체하면서 발에도채우고 지냈어요. 그리고 휴대용 소독제 있으심 가져오셔서 수시로뿌려주면 조금안심되는것같아요.', '모든 상비약은 한국에서 사가세요. 거기 약은 잘 안 듣습니다. 특히 감기약 필수입니다.', '필핀은 빈대의 적인 바퀴벌레가 많아서.. 빈대가 과연 있을까 싶어요 ㅎ', '오!! 처음알앗어요 ㅋㅋㅋㅋㅋ 좋은정보 감사요 👍', '빈대가 있나요,.?? 빈대 있다니 급 걱정되는데요ㅜ', '가끔 검색하다봄 어디나라호텔이든 나오더라구여\n저도 혹시나해서 준비중입니다.', '빈대약으로 빈대 죽이시고 주무시게요?', '기피제라도있음 뿌려볼까해서요.\n편백수도 기피제로 팔긴하네요.']",
탈모 효과본 약! 현지미용실?,"얼마전에 탈모 관련 글보고 저와 남편이 효과 본 약 알려드리려 합니다.
저도 추천으로 QOO10 이라는 쇼핑앱에서 구입했는데.. 가격은 비싸지 않아요.
한통에 100알 여자는 한 알을 반씩 먹는게 좋다해서 한통사서 6개월 이상 먹어요.
저는 올 초부터 복용했는데 바로 효과 나는것 아니니 그냥 꾸준히 먹으면서 잊어 버리고 있었는데
어느 순간 부터 욕실 바닥에 떨어지는 머리카락이 줄어 든게 느껴졌어요.
정말 신기할 정도로 바닥에도 머리카락이 안보여요..
잔머리가 많아졌고, 바로 인니에 있던 남펀에게 약을 보냈죠.
남편도 앞쪽 탈모 고민이었어서...
한 3개월뒤 남편이 효과 있다고..그런데 콧털도 자라는것 같다고 ㅋㅋㅋ
남편과 저, 둘다 효과는 확실히 봤어요.
그런데.. 효과가 너무 심하게 좋은게 탈이죠..
이거 드신 다른 분 후기에서 부작용으로 다른 곳에서도 털이 자란다고 했는데..
전 별다른 기미가 없어서 난 부작용 없나보다..하고 안심하고 효과만 만끽하고 있었죠.
그런데 인니 와서 어느 날 문득 팔을 보니.. 솜털이었던 애들이 많이 강해져있더라구요.
놀라서 앞머리를 들추고 이마를 보니.. 헤어라인이 선을 넘어 이마로 침투해 내려 오고 있구요 ㅎ
이대로 가면 손오공이 될수도...
지난 3-4 개월 동안 이사하고 정리 하느라 정신없어 잘 보지 못한것인지..
아니면 인니 물이 특히 이 약과 상승작용을 한것인지..
얼굴 솜털도 주장이 강해지는 것 같아서 지금 2주째 약을 중단하고 있는 중이예요.
그런데..
마치 배신한 애인에게 준 선물 다 뻇아가듯이 그동안 안빠졌던 머리카락 한번에 데려가듯
요즘 머리 빠지는게 무섭네요.. 물론 이전에 글쓴 분 얘기 대로 인니 물에 의한것도 있겠지만..

제모를 하더라고 머리카락을 가지고 싶으시다면 추천해요. 효과는 있습니다. 너무 많이..

전 이약 먹으며 자신있게 길렀던 머리를 이제는 좀 잘라야겠어요..

얼마전 끄망빌리지 옆에 있는 르뽀 몰에 보니 미용실 몆개 있던데.. 깔끔해 보이던데요..
현지 미용실과 카페에 올라와 있는 한인 미용실 가격와 기술이 어떤가요?
펌은 아니고 그냥 긴 머리 컷트 할 수 있는 미용실 추천 부탁 드립니다~

","['얼굴 솜털이 자기주장이 강해진대요 ㅋㅋㅋㅋㅋㅋㅋ 아 빵터졌어요 ㅋㅋㅋㅋ 새로운 친구들이 무럭무럭 자라나길요~ 머리에만!! ㅎㅎㅎㅎㅎ', '요즘 가르마쪽이 신경쓰여서 글 보다가 빵 터졌네요 ㅎㅎ 손오공 ㅎㅎㅎㅎ 저는 부분탈모같은데 왠지 득보다 실이 많을듯하니.. 남편 먹여봐야겠네요 ㅎㅎㅎ', '여긴 Qoo10에서 구매 하셨나요?? 한국사이트는 나오는데 인니 사이트는 안나오네요 ㅠㅠ', '한국있을때 구매했어요.. 저도 지금 다시 몰에 들어가보니 도착지를 한국으로 하면 나오는데 인니로 하니 안나오네요 ㅜㅜ', '자우림네 확인 너무 감사드립니다^^']",
