뚜레쥬르 지점,뚜레쥬르 거제수월,뚜레쥬르 거창스카이,뚜레쥬르 장유내덕,뚜레쥬르 장유석봉,뚜레쥬르 장유신문,뚜레쥬르 진영이진,뚜레쥬르 사천카이,뚜레쥬르 사천정동,뚜레쥬르 양산석산,뚜레쥬르 양산물금신도시,뚜레쥬르 양산터미널,뚜레쥬르 진주호탄,뚜레쥬르 진주망경,뚜레쥬르 통영무전,뚜레쥬르 경남함안,뚜레쥬르 함안칠원,뚜레쥬르 창원메트로시티,뚜레쥬르 마산산호마린,뚜레쥬르 부산중앙대로,뚜레쥬르 부산대학교,뚜레쥬르 부산남산,뚜레쥬르 기장교리,뚜레쥬르 부산일광신도시,뚜레쥬르 부산대연,뚜레쥬르 동래허브스카이,뚜레쥬르 부산동의대역,뚜레쥬르 부산개금백병원,뚜레쥬르 부산학장본점,뚜레쥬르 부산서대신역,뚜레쥬르 부산동아대,뚜레쥬르 부산남천,뚜레쥬르 부산대청로,뚜레쥬르 해운대수비교차로
쉬림프 아삭 패스트리,,,7500,,,,,,,,,,,,,,,,7500,,,,,,,,7500,,,,,,
V.E.L.T 샌드위치,7000,7000,7500,,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,,6800,,7000,7000,6900,,7000,7000,7000,7000,7000,7000,7000,7000,7000,,7000,
고소한 곡물식빵,,4900,4900,4900,,,4900,4900,4900,,4900,,4900,,4900,5000,,,4900,4900,4900,4900,,4900,4900,4900,4900,4900,4900,4900,4900,4900,4900
데일리 우유식빵,3900,3700,3700,3700,3700,3700,3700,3700,3700,3700,3700,3700,3700,3700,3700,3800,3700,3700,3700,3500,3700,3700,3700,3700,3700,3700,3700,3700,3700,3700,3700,3700,3700
2배 더 진해진 순진 우유식빵,,5600,5600,5600,,5600,5300,5600,5600,5600,,5600,5600,5600,,,,5600,,5600,5600,,5600,5600,5600,5600,,5600,,,,5600,
그대로 구워먹는 꿀 토스트 식빵,5500,,,5500,5500,,5500,,5500,5500,5500,,5500,,5500,5200,5500,,,,,,5500,,,5500,,,5500,5500,5500,,
착한 빵식 통밀빵,4900,4900,4900,4900,4900,4900,4500,,4900,,,4900,4900,4900,4900,4300,4900,4900,,3800,4900,4900,4900,4900,4900,4900,4900,4900,4900,4900,4900,4900,
고단백 현미식빵,,3900,,,3900,,,,,,3900,3900,,3900,3900,3900,3900,3900,,,,3900,3900,3900,,3900,3900,3900,3900,3900,3900,,3900
마구마구 밤식빵 (대),,6900,,,6900,,,6900,6900,,6900,6900,6900,,6900,7600,7400,6900,6900,6800,6900,,6900,6900,6900,6900,,6900,6900,6900,6900,6900,7200
마구마구 밤식빵 (소),3900,3900,5000,3900,3900,3900,4000,4400,,3900,,,,4000,3900,,,,,3600,,3900,,,,3900,3900,,,,,,
TLJ 옥수수 식빵,5300,5300,5300,,,5300,5500,,5300,5300,,,,5300,5300,5200,,5300,5300,5300,,5300,5300,5300,5300,5300,,5300,5300,,5300,5300,
순수한 맛 순우유롤(봉),5300,,5300,5300,5300,5300,,5300,5300,,5300,5300,5300,5300,5300,5100,,5300,,4800,5300,5300,5300,5300,5300,5300,5300,5300,5300,5300,,5300,
촉촉 쫄깃 탕종식빵,5300,,,5300,5300,,,,,,,,,,5300,,,,,,,,,,,,,5300,,,,,
폭신폭신 우유 브레드,4200,,,,4200,,4000,4700,4200,4200,,,,4200,4200,3800,4200,,,3500,4200,,,4200,4200,4200,4200,4200,4200,,4200,4200,4200
착한 빵식 통밀식빵 (산형),5800,5800,,,,5800,,,,,,,,5800,,5200,,,,5800,,,5800,,5800,,,,5300,,,,5800
기본좋은 소버식빵,4800,4800,4800,4800,4800,4800,4300,4800,4800,4800,4800,4800,4800,4800,4800,4800,4800,4800,4800,,4800,4800,4800,4800,4800,4800,4800,4800,4800,,4800,4800,4800
"순, 식빵",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
호박 패스트리 식빵,6300,,,,,6300,,6300,,6300,,6300,6300,6300,6300,5700,6300,6300,,6300,6300,,,6300,6300,6300,,,,,,,
(생 생) 생크림 식빵,5000,,4900,,4900,4900,,,,4900,,,,4900,,,,,4900,4900,,4900,4900,,4900,,,4900,4900,4900,,,
딸기잼 (400g),,9900,,,9900,9900,,,9900,9900,9900,,,,9900,,9900,,9900,,9900,9900,,9900,,9900,,9900,9900,9900,9900,9900,
딸기잼 320g,8500,8500,8500,8500,8500,8500,,,8500,8500,8500,8500,8500,8500,8500,,8500,8500,8500,8500,8500,,8500,8500,8500,8500,8500,8500,8500,8500,8500,8500,
블루베리잼 320g,9900,9900,,,,9900,9900,9900,9900,9900,9900,,9900,9900,9900,,9900,9900,9900,9900,9900,,9900,9900,,9900,9900,9900,9900,9900,9900,9900,
딸기잼 130g,,4800,,4800,,,,,,,,,4800,4800,,,,3200,,,4800,,,,,,,4800,,,,,
기본좋은 쌀 베이글,3200,3200,3200,3200,3200,3200,2900,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200
기본좋은 올리브 베이글,3300,3300,3300,3300,3300,3300,3000,3300,3300,3300,3300,3300,3300,3300,3300,3300,3300,3300,3300,3300,3300,3300,3300,3300,3300,3300,3300,3300,3300,3300,3300,3300,3300
데일리 블루베리 베이글,2900,2900,2900,,,2900,,,,,,,2900,,,2900,,,,,2900,,,,,,,,2900,2900,,2900,
데일리 월넛 베이글,,,2900,,,2900,,,,,,,,,,2900,,,,,,,,,,,,,,,2900,,
필라델피아 크림치즈 플레인,7200,7200,7200,7200,7200,7200,7200,7200,,,,7200,7200,7200,7200,,7200,7200,,,7200,7200,7200,7200,,7200,7200,,7200,7200,,7200,7200
기본좋은 세서미 베이글,3300,,,,,3300,3000,,3300,,3200,,3300,,,3300,,,,3300,,,,,3300,,3300,,3300,3300,,3300,3300
크림치즈 베이글 (기본좋은베이글 랜덤),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
크림치즈 베이글 (블루베리),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
베이컨 에그 베이글,,,,,,,,,,,4700,,,,,,,,,,,,,,4700,,4700,,,,,4700,
크림가득 메론빵,3500,,,,,3500,,,,,3500,3500,3500,,,,3500,,,3500,,,,,,,,3500,3500,,3500,,
순진우유크림빵,2700,2700,2700,2700,2700,2700,2900,2700,2700,2700,2700,2700,,2700,2700,2800,,2700,2700,2300,,,2700,2700,2700,2700,2700,,2700,2700,2700,2700,2700
마담 얼그레이 크림번,3800,,,,,3800,,,3800,3900,,,,3800,,,3800,,,3000,3800,,3800,,,3800,,,3800,3800,3800,3800,
겹겹이 연유 크림 데니쉬,4900,4900,,4900,4900,4900,5700,5700,4900,4900,,4900,4900,4900,4900,5200,5200,4900,,4800,4900,,4900,4900,4900,,4900,,4900,4900,4900,4900,5200
밤이듬뿍맘모스(소),3000,3000,4000,,,,,,,,,3000,,3000,,,,,3000,2700,3000,3000,,3000,3000,,,,,,3000,3000,3200
밤이 듬뿍 맘모스(대),5900,5900,5900,5900,5900,5900,,6400,5900,5900,,,5900,5900,5900,5500,5900,5900,,5000,5900,,5900,,5900,5900,,5900,5900,5900,,,
호두 연유 바게트,4500,4500,,4500,4500,4500,,4900,4500,,,4500,4500,4500,4500,,4500,4500,,3800,4500,4500,,,4500,,4500,4500,4500,4500,,4500,
사르르 고구마케이크빵,3200,3200,,,3200,3200,,,,3200,,3200,3200,3200,,3300,3200,3200,,2800,,,3200,,,,3200,,3200,3200,,3200,3200
슈크림빵,1900,1900,1900,1900,1900,1900,1900,1900,1900,,1900,1900,1900,1900,1900,2100,1900,1900,1900,1800,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900
후레쉬크림빵,1900,1900,,2000,1900,1900,2600,2500,1900,,1900,1900,1900,1900,1900,2200,2200,1900,1900,,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,2100
부드러운후레쉬크림샌드빵,6000,6000,,6000,6000,6000,6400,6300,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,,5700,6000,6000,6000,6000,6000,6000,,6000,6000,,,6000,6000
크리미 단팥,,,2300,,,2300,,,,2300,,,,,,,,,,,,,,,,,2300,,,,,,
크리미 고구마,,,2300,,,2300,,,,2300,,,,,,,,,,,,,,,,,,,,,,,
신선해 고소해 후레쉬 크림빵,,,2300,,,1900,,,,1900,,,,,,,,,,,,,,,,,,,,,,,
진짜 고소한 땅콩 크림빵,,,2300,,,,,,,1900,,,,,,,,1900,,,,,,,,,,,,,,,
리얼 초코 소라빵,3000,3000,3000,3000,3000,3000,3000,,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,,3000,3000,3000,3000,3000
까까웨뜨,,2100,,,2100,2100,2100,2500,2100,,,,2100,2100,2100,2200,2100,,,1800,2100,2100,2100,,2100,2100,2100,,2100,,,2100,2100
햄야채롤 (6개입),,,4200,,,,,,,4200,,,4200,,,,,,,,,,4200,,4200,4200,,,4500,,,4200,
핫도그 패스트리,,,,,3900,3900,,,3900,3900,,,,,3900,3900,3900,3900,,,3900,,3900,,3900,,3900,3900,,3900,,3900,
오리지널 핫도그,,,,,,,,,,4800,,,4800,,,,,,,,,,,,,,,,,,,,
칠리미트 핫도그,,,,,,,,,,4800,,,,,,,,,,,,,,,,,,,,,,,
New 정통 고로케,2700,,2700,2700,2700,2700,3300,3200,2700,,2700,,2700,2700,2700,2800,2700,2700,,2700,2700,2700,2700,2700,,2700,2700,2700,2700,2700,2700,2700,2900
추억의 사라다 고로케,3800,,3800,,3800,3800,3600,3800,3800,3800,3800,3800,3800,3800,,3900,3800,3800,,,3800,,3800,3800,3800,,3800,,3800,3800,,3800,3800
New 김치 고로케,2800,2800,2800,,2800,2800,3300,3200,2800,,2800,,2800,2800,2800,2800,2800,2800,,2800,,,2800,2800,,2800,2800,2800,2800,2800,2800,2800,
New 바비큐 치킨 고로케,2800,2800,2800,,2800,2800,3100,3200,,2800,,,2800,2800,2800,,,2800,,,2800,2800,,,,,,,,,,2800,
충남 예산 쪽파 고로케,,,,,,,,,,,,,,,,,,,,,,,,,,,,3500,,,,,
미니 햄치즈롤(10개),4800,4800,4800,4800,4800,4800,,5100,4800,4800,,4800,4800,4800,,,4800,4800,4800,4500,4800,4800,4800,,4800,4800,4800,4800,4800,4800,4800,4800,4800
낙엽 소시지 브레드,3200,3200,3200,,3200,3200,3400,3500,3200,3200,3200,3200,3200,3200,3200,3300,3200,3200,3200,2800,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200
NEW어니언소시지포카치아,3100,,,,,3100,,3300,3100,,,,,3100,3100,3100,3100,3100,3100,2800,3100,,3100,3100,,3100,,3100,3100,3100,,3100,3100
피자 토스트,2800,2800,2800,,,2800,2700,,2800,2800,2800,,,2800,2800,,2800,2800,2800,2200,2800,,2800,2800,2800,2800,,2800,,2800,,2800,2800
한 장씩 뜯어먹는 32겹 브레드,6500,6500,6500,6500,6500,6500,6500,6500,6500,6500,,6500,6500,6500,6500,,6500,6500,6500,,6500,6500,6500,6500,6500,6500,6500,6500,6500,6500,6500,6500,6500
츄러스 꽈배기,3000,,,,2900,2900,,3000,,,,,3000,,,2900,2900,2900,,,,,2900,2900,,2900,2900,,2900,,,2900,3300
패스트리에 빠진 에그푸딩,3800,,3800,3800,3800,3800,,,3800,,,,3800,3800,,,3800,3800,3800,3200,,3800,,3800,3800,3800,,,3800,3800,3800,,3800
몽블랑의 정석,6300,6300,6300,6300,6300,6300,,6300,6300,6300,,6300,6300,6300,6300,6300,6300,6300,,,6300,6300,6300,6300,,6300,6300,6300,6300,6300,,6300,6300
바통쉬크레 5개,,3600,,3600,,,,,,,,,3600,,,,3600,3600,,3600,,,,3600,,,,,,,,,3900
오리지널 크라상,2400,2400,2400,2400,2400,2400,2900,2900,2400,2300,2400,2400,2400,2400,2400,2600,2400,2400,2400,2300,2400,,2400,2400,2400,2400,2400,,2400,2400,2400,2400,2800
황금파이 만주,,,,,4000,,,,,,,,2000,,,,2000,2000,,1800,2000,2000,2000,2000,2000,,2000,2000,,2000,2000,6000,2100
카라멜 애플파이,3200,3200,3200,3200,,3200,,,3200,3200,,3200,3200,3200,3200,3200,3200,3200,,,3200,,3200,3200,3200,3200,3200,3200,3200,3200,,3200,3200
새콤달콤 유자파이,3200,3200,3200,,3200,3200,,,3200,3200,,3200,3200,3200,3200,3200,3200,3200,3200,2800,3200,,3200,3200,3200,3200,3200,3200,3200,3200,,3200,
순진 크림치즈빵,2900,2900,2900,2900,,2900,2900,2900,,2900,2900,2900,2600,2900,,2800,2900,2900,2900,2500,2900,,2900,2900,2900,2900,2900,2900,2900,2900,,2900,3000
남해 마늘로 만든 갈릭 퐁당 브레드(소),3400,,3400,,,,3400,3400,,,,,3400,3400,,3400,3400,3400,,2900,,,,3400,,,,,,,,,3400
남해 마늘로 만든 갈릭 퐁당 브레드(대),,,,,,,,,,,,5800,,,,5800,,,,,,,,,,,,,,,,,
크림치즈 호두 과자빵,,,,,,,,4000,,3600,,,3600,,,,,,,,,,,,3600,,,3600,,,,,
소금버터롤,2800,2800,2800,2800,2800,2800,3100,2900,2800,2900,2800,2800,2800,2800,2800,2800,2800,2800,2800,2500,2300,2800,2800,2800,2800,2800,2800,2800,2800,2800,2800,2800,2800
소보로 만난 앙넛 3개입,5100,,5100,5100,5100,,,5100,5100,,,,5100,,5100,4800,5100,5100,,4200,,,,,5100,,,,,,,,
겹겹이 초코퐁당,3800,,,3800,,,,,,,,,,,,3800,3800,3800,,3800,,,,,,,,,,,,3800,
겹겹이 말차 퐁당,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
깨찰빵,1800,,1800,,,1800,,1800,,,,1800,,,,,,,,3300,1800,,,,,,1800,,1800,1800,,,1800
순꿀호떡,,,,,,2700,,2800,,2700,,2700,2700,,,2600,2700,2700,2700,,2700,2700,,,,,2700,,,2700,,2700,
단팥빵,1900,1900,1900,1900,1900,1900,1900,1900,1900,,1900,1900,1900,1900,1900,2100,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900
소보로빵,1900,1900,1900,1900,1900,1900,1900,1900,1900,,1900,1900,1900,1900,1900,2100,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900
단팥소보로빵,3000,,,,,,,3000,3000,,,3000,3000,3000,3000,,3000,3000,3000,,3000,3000,3000,,,,,,3000,3000,,3000,
오리지널 커피번,3300,3300,3300,,3300,3300,,3800,3300,3300,,3300,3300,3300,3300,3300,3300,3300,,3000,3300,3300,3300,3300,,3300,3300,,3300,3300,3300,,
곰돌이 푸_ 부드러운 카스테라,2900,2900,2900,2900,2900,2900,2200,,2900,,,2900,2900,2900,2900,2900,2900,2900,2900,2900,,2900,2900,2900,2900,2900,2900,2900,2900,2900,2900,2900,
완두 앙금빵,1900,1900,1900,,1900,1900,1900,1900,1900,,1900,1900,1900,1900,1900,2100,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900
완두가득 완두 앙금빵,,,,,,,,,,1900,,,,,,,,,,,,,,,,,,,,,,,
맛보로 소보로빵,,,,,,,,,,1900,,,,,,,,,,,,,,,,,,,,,,,
팥이 빵빵 단팥빵,,,,,,,,,,1900,,,,,,,,,,,,,,,,,,,,,1900,,
크림치즈 월넛브레드,5400,,,5400,5400,,5400,5400,5400,5400,,5400,5400,5400,5400,5500,5400,5400,5400,4900,,,5400,5400,5400,5400,5400,5400,5400,5400,,5400,5500
카페모카빵 (소),3500,,3500,,,3500,3500,3900,,3500,,,3500,3500,3500,3100,3500,3500,3500,,3500,3500,3500,3500,,3500,3500,3500,3500,3500,3500,3500,3500
카페모카빵(대),5300,5300,5300,5300,,,,,,,,5300,,,,,,,,4700,,,,,5300,,,,,,,,
카페모카크림빵 (소),,3900,4500,3900,3900,3900,4000,4800,3900,3900,,3900,3900,3900,3900,3700,,3900,3900,3300,3900,,3900,3900,3900,,3900,3900,3900,3900,3900,3900,3900
카페모카크림빵 (대),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
미니치즈롤 (봉),,,,,,,5000,,,4900,,,,,4900,,,,,4500,4900,,,,4900,,,,,,,,
쫄깃한 찹쌀 도넛,,,1800,,1800,1800,,1800,1800,1800,,1800,1800,1800,1800,2100,1800,1800,,,1800,1800,1800,1800,,,,1800,1800,1800,1800,,2000
엄마랑 장볼 때 먹던 그때 그 도나쓰 5개입,3500,3500,3500,3500,3500,3500,3500,3800,,3500,,,3500,3500,3500,3000,3500,3500,,2700,3500,3500,3500,3500,3500,,3500,3500,3500,3500,,3500,3500
옛날 꽈배기 도넛,1900,1900,,,1900,1900,2000,2100,1900,1900,,1900,1900,1900,1900,2300,1900,1900,,1700,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,,2000
앙 호두 버터 샌드,,,5200,,5200,5200,5400,5400,5200,5200,,5200,5200,5200,5200,,5200,5200,,,,,,,5200,,,5200,5200,,5200,5200,5200
카스테라우유크림블,5100,5100,5100,5100,5100,5100,4600,,5100,5100,5100,5100,5100,5100,5100,5100,5100,5100,,5100,5100,,5100,5100,5100,,5100,5100,5100,,5100,5100,
클래식 딸기잼 맘모스,3200,,,,,6200,,6200,,,,,6200,,,,,,,,,,,,,,,,,,,,
클래식 딸기잼 맘모스 (소),3500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
라구 소시지 피자빵,,,,,,,,,,,,3800,,,,3800,,,,,,,,,,,,,,,,,
뚜레1번가 치킨치즈롤,,,,,,4800,,,,,,,,,,,,,,,,,,,,,4800,,,,,,
크로크무슈,3300,3300,3200,,3300,3300,3500,3500,3300,,3300,3300,3300,,3300,3300,3300,3300,3300,3200,3300,3300,3300,3300,3300,3300,3300,,3300,3300,3300,3300,3400
소시지 쌍쌍 브레드,3200,,,,3200,3200,3500,3500,,,,3200,3200,3200,,,,3200,3200,,,3200,3200,,,,,,,,3200,,
더블 롤치즈 식빵 (소),,,,,,,,,4200,,,,,,,,,4200,,,,,4200,,,,,,,,,,4200
치즈방앗간 (3개),4500,,,4500,4500,,4500,4500,,4500,,,4500,4500,,,4500,,,4200,4500,,4500,4500,4500,4500,4500,,4500,,4500,4500,4700
달콩찹쌀브레드,4500,,4500,4500,4500,,4500,4900,,4500,,4500,4500,4500,4500,4100,4500,4500,,,4500,,4500,4500,,,,4500,,,,,
옛날 단팥 도넛,2300,,2300,,2300,2300,2200,2400,2300,2300,2300,2300,2300,2300,2300,2600,2300,2300,,,2300,2300,2300,2300,,,2300,2300,2300,2300,2300,,2300
못난이 감자치즈(3개입),,,,,,,,,,,,,,,,,,4700,,4200,4700,,,,,4700,,,,,,,4700
매콤치킨랩,,,,,,7200,,,,,,,,,,,7200,,,,,,,,,,7200,,,,,,
클래식 휘낭시에,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
아몬드비스킷,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
아몬드밀크 초코볼,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
호두카라멜 스콘,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
치즈 브라우니,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
겹겹이 밀크롤인,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
뚜레쥬르 초코칩머핀 (1봉),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
뚜레쥬르 크림치즈머핀 (1봉),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
녹차 카스테라,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
허니카스테라,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
벌꿀 카스테라,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
제주첫물녹차카스테라,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
포실포실 솜사탕 (랜덤 1개),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
맛있게 뜯어먹는 순우유쉬폰,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
클래식파운드,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
초코찰떡파이 검은깨,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
한입 크런치 비스킷,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
쑥떡쑥떡 콩쑥이,,,,,,,,,,,,,,4300,,4200,,,,,4300,,,,,,,,4300,,,4300,
리얼 브라우니,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
옥수수범벅,2700,2700,,,,,3000,2800,,2700,,2700,2700,2700,,,2700,2700,,,2700,2700,,,,2700,,2700,,2700,,2700,
빵속에리얼초코,2600,2600,,,2600,2600,,2900,2600,,,2600,,2600,2600,2800,2600,,2600,2300,,2600,2600,2600,2600,2600,,,2600,,,2600,2600
크림가득 모카번,,,,,,,,,,,4200,,4200,,,,,4900,,,4200,,,,,,4200,,4200,,,,
바삭 몬테크리스토 (1/2),,,,,,3300,,,,,,,,,,,,,,,,,,,,3300,3300,,,,,3300,
고메버터식빵,,,,,,,,,,5400,,,,5300,,,,,,,5300,5300,,,,,,,,5300,,,5300
콥샐러드,,,,,,,,,,8700,,,,8300,,,8300,,8300,,,,,,,8300,,,8300,,7400,8300,
바로굽는 토스트식빵,,,4500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
고소함이 톡톡 곡물식빵,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
고단백하루견과곡물브레드,6300,,,,,6300,,6300,,6300,,,6300,,,,,,,,,6300,,6300,6300,,6300,6300,6300,,,,
아침엔 보리쌀롤 (6개입),,,,,,,,4700,,,,,4700,,,,,4700,,,,,,,,,4700,,,,,,
간편하게 발라먹는 앙버터 스프레드,,,,,,,,4200,,,3900,,,,,,,,,,,,,,,,,,,,,,
뚜쥬맘계란토스트(1/2),,,,,,,,,,3600,,,,3500,,,,,,,,,,,,,3500,,,,,,
치즈치즈번,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
충남예산 쪽파&베이컨,2900,,2900,2900,,,,,,,,,,,,,,,,2900,,,2900,2900,,,,,2900,,,,
앙버터 소금버터롤,,4300,,,,,,,,,,,,,,4300,4300,,,,,,,4300,4300,,,,,,,,
잠봉뵈르 소금버터롤,,,,,,,,,,,,,,,,,,,,,,,,5200,,,,,,,,,
초코 퐁당 코르네,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
크림코르네,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
카라멜러스크,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
리코타 그릴치킨 샐러드,,8400,,,,,,,,,,,,,,,,,8400,,,,,,,8400,,,,,,8400,
햄&포테이토 샐러드 샌드위치,,,,7400,,7400,,7400,,,,,,,7400,,,,,,,,,,7400,,,,,7400,7400,,
크랜베리치킨 샌드위치,,,,,,,7200,,,,,,,,,7000,,,,,,,,,,,,,7200,,,,
썸머타코 치킨 샐러드,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
레드타코치킨 샌드위치,7000,7000,7500,,7000,7000,7000,,,7000,,7000,,,7000,,,7000,,7000,,,,7000,7000,,,,7000,7000,,7000,
TLJ 치킨클럽 샌드위치,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
통밀레드치킨 샌드위치,,,,,,,,,,,,,7000,,,,,,,,,,,,,,,,,,,,
머쉬룸불고기샐러드,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
치킨 텐더 샐러드,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72겹의 정성 데니쉬 식빵,,,6500,,,,,6800,,,,,6500,,,6300,,,6500,,,,,,,,,,,,,,
폭신폭신 모닝롤 (8개입),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
연유퐁당밀크브레드(소),3200,3200,3200,,3200,3200,,,,3200,,6000,3200,3200,3200,3100,3200,3200,3200,2800,3200,3200,3200,3200,3200,3200,,3200,,3200,,3200,3400
생크림 크라상,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
생크림소보로,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
연유크림만난단팥빵,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
쑥이 듬뿍 맘모스(대),5900,,,,,5900,,,,,,,5900,,,5900,,,,,5900,,,,,,,,,,,,
매직모카크림빵,6000,,5900,,,,,,5900,5900,,5900,5900,,,,,,,5900,,5900,,,5900,,,,,,,,
사르르 우유크림빵,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
